objname,ra2000,de2000,t,t_err,type,logd25,d25,bt,incl,ned_v_helio,ned_v_corr,ned_dist_z_corr,ned_dist_0,hyperleda_v_helio,hyperleda_dist_z_helio,hyperleda_dist_0,dist_best
ESO149-013,0.6945,-52.77158,9.9,0.5,IB,1.07,1.174897697,15.71,90,1500,1483,20.24849809,,1498,20.45330421,,20.24849809
NGC0007,2.08695,-29.91534,4.8,0.7,Sc,1.39,2.454708835,14.34,86.6,1495,1502,20.50791917,20.62,1499,20.46695795,20.60630529,20.60630529
ESO410-005,3.8802,-32.18061,0.4,2.3,S0-a,1.11,1.288249594,14.93,51.8,159,164,2.239213545,1.9,36,0.491534681,1.940886355,1.940886355
IC0010,5.09625,59.2931,9.9,0.6,IB,1.82,6.606935278,11.78,31.1,-348,-69,-0.942108138,0.88,-345,,0.794328409,0.794328409
NGC0115,6.6933,-33.67698,3.9,0.8,SBbc,1.32,2.089296383,13.67,74.4,1825,1821,24.86346259,29.98,1828,24.95903878,28.70781792,28.70781792
ESO410-012,7.0752,-27.98335,4.7,2,Sc,1.15,1.412537467,16.08,82.8,1545,1539,21.01310759,,1544,21.0813763,,21.01310759
NGC0131,7.41045,-33.25987,3,0.3,SBb,1.26,1.819700819,13.77,73.8,1410,1399,19.10158383,,1416,19.33369743,,19.10158383
UGC00300,7.5174,3.51291,10,0.5,IAB,1.02,1.047128502,,24,1346,1373,18.74658656,17.8,1345,18.36428181,,17.8
UGC00313,7.8588,6.20675,4.3,2.1,Sbc,1.08,1.202264553,14.35,55.9,2085,2075,28.33151283,,2084,28.4543965,,28.33151283
UGC00320,8.1285,2.57422,6,0.5,Sc,1.1,1.258925481,16.05,90,2374,2348,32.05898416,40.83,2374,32.41398143,41.30476689,41.30476689
NGC0147,8.30025,48.50874,-4.8,0.6,E,1.97,9.332543623,10.59,90,-193,85,1.160567996,0.75,-193,,0.707945629,0.707945629
ESO410-018,8.54625,-30.77392,8.9,0.5,SABm,1.19,1.548816823,14.14,32.3,1582,1571,21.45002731,19,1584,21.62752594,,19
NGC0148,8.56455,-31.78615,-2,0.5,S0,1.3,1.995262096,13.11,90,1516,1504,20.53522665,26.23,1574,21.49098853,,26.23
NGC0150,8.56455,-27.8037,3.4,0.9,SBb,1.55,3.548133503,11.97,66.9,1584,1574,21.49098853,21.01,1584,21.62752594,21.08629891,21.08629891
ESO411-013,11.77665,-31.58135,9,0.5,SBm,1.09,1.230268865,15.85,90,1760,1742,23.78481704,,1760,24.03058438,,23.78481704
NGC0254,11.8665,-31.42211,-1.2,1,S0-a,1.44,2.754229066,12.59,57.4,1629,1610,21.98252321,17.1,1626,22.20098307,,17.1
NGC0253,11.88795,-25.28844,5.1,0.4,SABc,2.43,26.91535218,7.93,90,243,251,3.427089022,3.24,246,3.358820317,3.698280433,3.698280433
ESO411-016,11.91495,-27.94758,1.8,3,Sab,1.01,1.02329297,15.25,68.5,1783,1764,24.08519934,,1768,24.13981431,,24.08519934
NGC0274,12.75795,-7.05706,-2.8,0.5,E-S0,1.1,1.258925481,13.4,37.8,1750,1731,23.63462589,27.52,1721,23.49808848,19.31969437,19.31969437
NGC0275,12.7689,-7.06629,6,0.3,SBc,1.24,1.737800867,12.81,38.2,1744,1725,23.55270344,21.9,1748,23.86673949,,21.9
NGC0289,13.17645,-31.20581,4,0.5,SBbc,1.53,3.388441338,11.7,43,1629,1607,21.94156199,21.06,1630,22.25559803,20.7969592,20.7969592
ESO411-026,13.18965,-31.71818,9,0.4,SBm,1.06,1.14815347,15.85,78.5,1580,1557,21.25887493,,1608,21.95521573,,21.25887493
ESO411-027,13.215,-27.32558,5.7,2.4,Sc,1.1,1.258925481,16.02,77.5,1829,1806,24.65865647,,1816,24.79519388,,24.65865647
NGC0300,13.72305,-37.68448,6.9,0.4,Scd,2.29,19.49844428,8.76,48.5,144,109,1.488257783,1.95,165,2.252867286,2.023020263,2.023020263
NGC0337,14.95875,-7.57818,6.7,0.8,SBcd,1.47,2.951209421,12.01,50.6,1646,1624,22.17367559,20.79,1649,22.51501912,18.1969982,18.1969982
ESO351-030,15.03885,-33.709,-4.8,0.5,E,1.06,1.14815347,10.36,51.4,110,89,1.21518296,0.08,109,1.488257783,0.084333406,0.084333406
IC1613,16.1991,2.11773,9.9,0.3,I,2.26,18.19700819,10,22.9,-234,-73,-0.996723102,0.73,-236,,0.75509185,0.75509185
NGC0428,18.23175,0.98168,8.6,1,SABm,1.45,2.818383241,11.95,47.9,1152,1157,15.79737848,13.44,1155,15.770071,14.79108648,14.79108648
UGC00772,18.4143,0.87459,9.8,0.5,I,1.08,1.202264553,16.1,45.5,1161,1165,15.90660841,,1174,16.02949208,,15.90660841
NGC0448,18.81885,-1.62626,-2.4,0.8,S0,1.2,1.584893366,13.35,90,1908,1869,25.51884216,27.12,1927,26.31075915,30.06074137,30.06074137
NGC0450,18.87675,-0.86092,5.8,0.5,SABc,1.47,2.951209421,12.8,49.8,1761,1729,23.60731841,18.59,1774,24.22173676,17.4582065,17.4582065
NGC0493,20.53785,0.94576,5.9,0.4,Sc,1.48,3.019951853,12.96,74.7,2338,2277,31.08956854,24.74,2441,33.32878209,22.90865842,22.90865842
UGC00931,20.81055,-0.70107,5.4,1.5,Sc,1.01,1.02329297,16.09,79,2019,1971,26.91152376,31.83,1987,27.12998362,,31.83
PGC093080,21.1437,3.7897,5.6,2.2,Sc,1.19,1.548816823,,70.6,2266,2208,30.1474604,,2171,29.64227198,,30.1474604
NGC0520,21.14445,3.7942,1.3,3.4,Sa,1.61,4.073802912,12.21,75.7,2281,2223,30.35226652,30.2,2161,29.50573457,,30.2
NGC0584,22.8363,-6.86805,-4.7,0.9,E,1.58,3.801894339,11.33,82.8,1802,1756,23.97596942,19.09,1850,25.25942108,19.95263191,19.95263191
NGC0586,22.90365,-6.89375,0.7,1,Sa,1.21,1.62181024,14.08,68.7,1875,1826,24.93173129,,1868,25.50518842,,24.93173129
NGC0613,23.5758,-29.41844,4,0.2,Sbc,1.74,5.495408859,10.74,35.7,1481,1437,19.620426,25.27,1481,20.22119061,26.4240834,26.4240834
NGC0625,23.77125,-41.43676,9,1.4,SBm,1.82,6.606935278,11.64,90,396,325,4.437465866,3.75,389,5.311305298,3.999449676,3.999449676
NGC0628,24.174,15.78332,5.2,0.5,Sc,2,10,9.7,19.8,657,725,9.898962316,9.01,658,8.98416166,10.13911484,10.13911484
NGC0678,27.35355,21.99728,3,0.4,SBb,1.49,3.0902955,13.35,90,2835,2766,37.76624795,27.87,2793,38.13489896,,27.87
NGC0720,28.2522,-13.73858,-4.9,0.5,E,1.65,4.466835676,11.15,90,1745,1691,23.08847624,23.18,1717,23.44347351,27.41572438,27.41572438
PGC007045,28.51305,-14.25298,0,1,S0-a,1.2,1.584893366,14.63,90,1423,1378,18.81485527,,1428,19.49754233,,18.81485527
NGC0855,33.51495,27.87685,-4.8,0.7,E,1.47,2.951209421,13.28,90,592,693,9.4620426,9.28,592,8.083014746,9.638294808,9.638294808
PGC008962,35.36925,-4.4131,6.9,0.7,SBcd,1.17,1.479108242,15.77,80.6,2316,2234,30.50245767,,2316,31.62206445,,30.50245767
NGC0895,35.40195,-5.52139,6,0.3,Sc,1.52,3.311311069,12.3,49.1,2288,2207,30.13380666,28.57,2288,31.23975969,35.31834428,35.31834428
NGC0891,35.6397,42.34712,3.1,0.4,Sb,2.12,13.18256391,10.84,90,528,689,9.407427635,10.09,528,7.209175314,9.862793903,9.862793903
NGC0925,36.82035,33.579,7,0.3,Scd,2.03,10.71519235,10.59,58.7,553,676,9.229929001,8.61,554,7.564172583,9.204490381,9.204490381
PGC009485,37.38195,-3.213,0.3,1.3,S0-a,1.18,1.513561066,13.78,46,2435,2348,32.05898416,,2437,33.27416712,,32.05898416
NGC1052,40.2699,-8.2558,-4.7,0.7,E,1.47,2.951209421,11.45,70.5,1510,1454,19.8525396,19.72,1484,20.26215183,17.53880332,17.53880332
NGC1068,40.66965,-0.01324,3,0.3,Sb,1.79,6.165949477,9.74,24.1,1137,1109,15.14199891,12.58,1138,15.5379574,10.0925332,10.0925332
NGC1056,40.70145,28.57372,1,0.4,Sa,1.27,1.862087055,13.33,46.7,1545,1561,21.3134899,26.8,1544,21.0813763,31.18892707,31.18892707
NGC1097,41.57955,-30.27497,3.3,0.5,SBb,2.02,10.47128502,10.14,55,1271,1203,16.42545057,19.61,1269,17.32659749,14.72313253,14.72313253
NGC1140,43.6398,-10.02833,9.2,2.2,SBm,1.31,2.041737676,12.78,73.8,1501,1443,19.70234844,18.23,1501,20.49426543,18.11341652,18.11341652
PGC166069,43.92825,58.86062,10,1.4,I,1.2,1.584893366,19.59,90,59,299,4.082468596,,59,0.805570726,,4.082468596
UGC02392,43.9434,33.76658,5.9,0.5,Sc,1.12,1.318256753,15.22,76.6,1548,1583,21.6138722,26.52,1546,21.10868378,,26.52
NGC1189,45.85215,-15.62342,7.9,1.1,Sd,1.15,1.412537467,14.43,90,2544,2461,33.60185691,,2591,35.37684326,,33.60185691
NGC1199,45.9105,-15.61384,-4.8,0.6,E,1.45,2.818383241,12.39,50.6,2570,2486,33.94320044,33.76,2682,36.6193337,32.80954977,32.80954977
NGC1222,47.2365,-2.95531,-2.6,1.8,E-S0,1.2,1.584893366,13.15,67.8,2422,2337,31.90879301,31,2455,33.51993446,,31
PGC166071,47.9955,60.34689,10,2,I,1.45,2.818383241,19,90,,,,42.73,2767,37.77990169,,42.73
ESO116-012,48.2697,-57.35714,6.8,0.8,SBcd,1.56,3.630780069,13.04,82.8,1146,1040,14.19989077,20.44,1144,15.61987985,21.97859911,21.97859911
NGC1266,49.0032,-2.42735,-2.3,1,S0,1.17,1.479108242,14.33,58.2,2170,2095,28.60458766,,2184,29.81977062,,28.60458766
PGC012608,50.4654,-15.71055,9,0.5,Sm,1.15,1.412537467,15.58,72.5,2006,1935,26.41998908,27.7,2007,27.40305844,27.66941086,27.66941086
NGC1316,50.6739,-37.20821,-1.8,0.7,S0,2.13,13.48963238,9.41,67.8,1760,1694,23.12943747,18.99,1788,24.41288913,20.41737676,20.41737676
NGC1317,50.6844,-37.10381,0.8,0.5,SABa,1.49,3.0902955,11.85,35,1941,1880,25.66903332,16.9,1948,26.59748771,,16.9
