id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err,red_chi2
ESO097-013,2.105E+01,1.007E+01,1.969E+10,1.007E+10,1.637E+11,5.846E+10,8.099E+10,1.912E+10,8.273E+10,3.956E+10,3.486E+09,9.805E+09,0.244,0.386,0.052,0.078,6.896E+06,1.484E+06,1.329E+10,1.048E+09,5.325,1.479,24.43,1.172,0.023,0.011,0.076,0.035,1.305
ESO116-012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ESO149-001,3.647E-01,4.528E-02,3.841E+09,9.014E+08,9.581E+09,4.790E+08,8.147E+09,4.541E+08,1.433E+09,1.779E+08,3.846E+08,4.497E+08,0.308,0.052,0.054,0.014,1.432E+06,4.010E+05,8.343E+08,1.042E+08,3.15,1.045,22.31,1.278,0.021,0.005,0.002,0.002,1.446
ESO149-013,6.694E-03,1.815E-02,3.154E+08,1.565E+08,2.471E+08,1.199E+08,2.208E+08,6.199E+07,2.631E+07,7.132E+07,3.633E+06,1.289E+06,0.222,0.577,0.053,0.154,2.977E+04,8.206E+04,4.922E+06,5.912E+06,13.95,22.61,28.85,8.079,0.195,0.119,0.08,0.14,0.258
ESO157-047,4.214E-02,1.084E-02,4.587E+08,1.892E+08,8.129E+08,4.064E+07,6.473E+08,7.397E+07,1.656E+08,4.261E+07,3.230E+07,4.565E+07,0.295,0.11,0.059,0.027,1.203E+05,2.043E+05,7.794E+07,2.622E+07,16.31,20.09,29.64,6.304,0.036,0.039,0.004,0.022,0.539
ESO157-049,5.265E-01,1.026E-01,4.514E+09,1.480E+09,7.738E+09,3.869E+08,5.669E+09,4.108E+08,2.069E+09,4.034E+08,2.690E+09,1.951E+09,3.485,0.187,1.041,0.11,5.219E+06,4.144E+06,4.641E+09,3.483E+08,6.154,4.05,25.05,2.847,0.062,0.01,0.005,0.003,0.372
ESO209-009,4.673E-01,6.426E-01,1.361E+10,5.210E+09,1.793E+10,3.363E+09,1.609E+10,1.645E+09,1.836E+09,2.526E+09,8.422E+09,1.538E+09,5.334,2.114,1.619,0.628,1.452E+07,2.247E+06,9.960E+09,5.140E+08,3.296,0.514,22.49,0.605,0.094,0.016,0.001,0.001,0.369
ESO240-004,4.661E-02,8.517E-03,2.588E+08,1.178E+08,6.041E+08,5.363E+07,4.209E+08,7.999E+07,1.832E+08,3.347E+07,1.862E+07,3.997E+07,0.227,0.109,0.047,0.027,9.213E+05,7.419E+05,5.858E+07,2.742E+07,2.175,8.945,20.93,14.86,0.124,0.094,0.028,0.07,0.123
ESO289-020,1.614E-02,2.771E-03,5.369E+07,3.918E+07,1.646E+08,3.019E+07,1.012E+08,3.142E+07,6.345E+07,1.089E+07,7.269E+06,1.852E+07,0.314,0.187,0.071,0.05,1.680E+05,1.911E+05,2.579E+07,1.650E+07,5.239,12.58,24.36,10.1,0.11,0.096,0.016,0.055,0.503
ESO351-030,2.672E-09,4.260E-09,5.212E+02,3.323E+02,3.021E+02,9.221E+01,2.916E+02,9.840E+01,1.050E+01,1.674E+01,5.883E+01,8.906E+00,2.371,1.918,0.615,0.539,2.681E-01,6.737E-01,6.774E+01,3.949E+01,17.14,23.74,29.89,7.151,0.226,0.11,0.052,0.114,0.637
ESO358-006,1.743E-02,3.154E-03,3.437E+08,1.660E+08,3.643E+08,5.452E+07,2.957E+08,6.221E+07,6.852E+07,1.240E+07,1.342E+07,1.979E+07,0.309,0.156,0.064,0.039,5.603E+04,1.266E+05,3.321E+07,1.735E+07,18.65,24.87,30.33,6.986,0.244,0.109,0.136,0.171,23.52
ESO358-015,1.965E-02,4.291E-03,2.446E+08,9.048E+07,3.832E+08,2.401E+07,3.060E+08,3.848E+07,7.725E+07,1.687E+07,4.614E+06,7.532E+06,0.09,0.074,0.018,0.016,4.399E+04,9.206E+04,1.215E+07,9.986E+06,14,21.84,28.87,7.778,0.183,0.117,0.058,0.12,0.517
ESO358-016,2.165E-02,6.792E-03,2.709E+08,1.310E+08,4.203E+08,7.382E+07,3.352E+08,8.114E+07,8.511E+07,2.669E+07,4.024E+07,4.898E+07,0.776,0.274,0.164,0.075,7.699E+05,7.371E+05,8.922E+07,3.718E+07,3.07,9.182,22.21,11.48,0.127,0.088,0.019,0.053,0.198
